date,state_normalized,district_cleaned,demo_age_5_17,demo_age_17_
01-03-2025,ANDAMAN AND NICOBAR ISLANDS,Nicobar,32,360
01-03-2025,ANDAMAN AND NICOBAR ISLANDS,North And Middle Andaman,20,402
01-03-2025,ANDAMAN AND NICOBAR ISLANDS,South Andaman,74,450
01-03-2025,ANDHRA PRADESH,Adilabad,390,3950
01-03-2025,ANDHRA PRADESH,Alluri Sitharama Raju,507,4448
01-03-2025,ANDHRA PRADESH,Anakapalli,373,2791
01-03-2025,ANDHRA PRADESH,Anantapur,953,19013
01-03-2025,ANDHRA PRADESH,Ananthapur,2020,7310
01-03-2025,ANDHRA PRADESH,Ananthapuramu,2547,7891
01-03-2025,ANDHRA PRADESH,Annamayya,526,3272
01-03-2025,ANDHRA PRADESH,Bapatla,232,1653
01-03-2025,ANDHRA PRADESH,Chittoor,4070,38298
01-03-2025,ANDHRA PRADESH,Cuddapah,1786,16961
01-03-2025,ANDHRA PRADESH,Dr. B. R. Ambedkar Konaseema,240,2136
01-03-2025,ANDHRA PRADESH,East Godavari,3391,37620
01-03-2025,ANDHRA PRADESH,Eluru,283,2536
01-03-2025,ANDHRA PRADESH,Guntur,3060,40302
01-03-2025,ANDHRA PRADESH,Hyderabad,695,6045
01-03-2025,ANDHRA PRADESH,Kakinada,638,4748
01-03-2025,ANDHRA PRADESH,Karimnagar,93,766
01-03-2025,ANDHRA PRADESH,Khammam,431,4962
01-03-2025,ANDHRA PRADESH,Krishna,1711,21831
01-03-2025,ANDHRA PRADESH,Kurnool,3650,31715
01-03-2025,ANDHRA PRADESH,Mahabub Nagar,26,184
01-03-2025,ANDHRA PRADESH,Mahbubnagar,169,1133
01-03-2025,ANDHRA PRADESH,Medak,215,1387
01-03-2025,ANDHRA PRADESH,N. T. R,775,6936
01-03-2025,ANDHRA PRADESH,Nalgonda,146,2240
01-03-2025,ANDHRA PRADESH,Nandyal,339,2135
01-03-2025,ANDHRA PRADESH,Nellore,944,16115
01-03-2025,ANDHRA PRADESH,Nizamabad,53,476
01-03-2025,ANDHRA PRADESH,Palnadu,323,2765
01-03-2025,ANDHRA PRADESH,Parvathipuram Manyam,201,1664
01-03-2025,ANDHRA PRADESH,Prakasam,2116,27970
01-03-2025,ANDHRA PRADESH,Rangareddi,463,3060
01-03-2025,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,392,2890
01-03-2025,ANDHRA PRADESH,Sri Sathya Sai,535,2386
01-03-2025,ANDHRA PRADESH,Srikakulam,5275,37687
01-03-2025,ANDHRA PRADESH,Tirupati,478,4139
01-03-2025,ANDHRA PRADESH,Visakhapatnam,3222,36984
01-03-2025,ANDHRA PRADESH,Vizianagaram,2141,20324
01-03-2025,ANDHRA PRADESH,Warangal,728,6167
01-03-2025,ANDHRA PRADESH,West Godavari,2189,27673
01-03-2025,ANDHRA PRADESH,Y. S. R,274,1877
01-03-2025,ARUNACHAL PRADESH,Anjaw,24,210
01-03-2025,ARUNACHAL PRADESH,Changlang,73,1120
01-03-2025,ARUNACHAL PRADESH,East Siang,19,151
01-03-2025,ARUNACHAL PRADESH,Kra Daadi,26,105
01-03-2025,ARUNACHAL PRADESH,Lohit,30,234
01-03-2025,ARUNACHAL PRADESH,Longding,45,285
01-03-2025,ARUNACHAL PRADESH,Lower Dibang Valley,36,249
01-03-2025,ARUNACHAL PRADESH,Lower Siang,22,66
01-03-2025,ARUNACHAL PRADESH,Lower Subansiri,41,280
01-03-2025,ARUNACHAL PRADESH,Namsai,50,553
01-03-2025,ARUNACHAL PRADESH,Papum Pare,163,1311
01-03-2025,ARUNACHAL PRADESH,Siang,25,159
01-03-2025,ARUNACHAL PRADESH,Tawang,27,117
01-03-2025,ARUNACHAL PRADESH,Tirap,18,235
01-03-2025,ARUNACHAL PRADESH,Upper Siang,12,40
01-03-2025,ARUNACHAL PRADESH,Upper Subansiri,106,570
01-03-2025,ARUNACHAL PRADESH,West Kameng,25,116
01-03-2025,ARUNACHAL PRADESH,West Siang,110,1156
01-03-2025,ASSAM,Baksa,397,4438
01-03-2025,ASSAM,Barpeta,821,9181
01-03-2025,ASSAM,Biswanath,227,2732
01-03-2025,ASSAM,Bongaigaon,699,8681
01-03-2025,ASSAM,Cachar,1234,10000
01-03-2025,ASSAM,Charaideo,145,1953
01-03-2025,ASSAM,Chirang,179,1711
01-03-2025,ASSAM,Darrang,661,5819
01-03-2025,ASSAM,Dhemaji,534,5979
01-03-2025,ASSAM,Dhubri,1070,10824
01-03-2025,ASSAM,Dibrugarh,338,5542
01-03-2025,ASSAM,Goalpara,768,6461
01-03-2025,ASSAM,Golaghat,587,8416
01-03-2025,ASSAM,Hailakandi,211,1822
01-03-2025,ASSAM,Hojai,319,3439
01-03-2025,ASSAM,Jorhat,320,5231
01-03-2025,ASSAM,Kamrup,319,5222
01-03-2025,ASSAM,Kamrup Metro,579,5320
01-03-2025,ASSAM,Karbi Anglong,675,6192
01-03-2025,ASSAM,Karimganj,567,5374
01-03-2025,ASSAM,Kokrajhar,538,3272
01-03-2025,ASSAM,Lakhimpur,577,9766
01-03-2025,ASSAM,Majuli,55,569
01-03-2025,ASSAM,Marigaon,1006,7948
01-03-2025,ASSAM,Nagaon,1216,16723
01-03-2025,ASSAM,Nalbari,509,4658
01-03-2025,ASSAM,North Cachar Hills,74,648
01-03-2025,ASSAM,Sibsagar,146,1460
01-03-2025,ASSAM,Sonitpur,802,9796
01-03-2025,ASSAM,South Salmara Mankachar,197,3153
01-03-2025,ASSAM,Tinsukia,499,7786
01-03-2025,ASSAM,Udalguri,367,4869
01-03-2025,ASSAM,West Karbi Anglong,56,360
01-03-2025,BIHAR,Araria,2774,32707
01-03-2025,BIHAR,Arwal,558,5961
01-03-2025,BIHAR,Aurangabad,2788,23698
01-03-2025,BIHAR,Banka,2100,23353
01-03-2025,BIHAR,Begusarai,3601,28482
01-03-2025,BIHAR,Bhagalpur,4949,37353
01-03-2025,BIHAR,Bhojpur,2688,29327
01-03-2025,BIHAR,Buxar,1661,18351
01-03-2025,BIHAR,Darbhanga,2612,28474
01-03-2025,BIHAR,East Champaran,4175,47030
01-03-2025,BIHAR,Gaya,5828,49924
01-03-2025,BIHAR,Gopalganj,2129,22709
01-03-2025,BIHAR,Jamui,1393,15286
01-03-2025,BIHAR,Jehanabad,988,8898
01-03-2025,BIHAR,Kaimur (Bhabua),847,8728
01-03-2025,BIHAR,Katihar,2845,33082
01-03-2025,BIHAR,Khagaria,1450,12708
01-03-2025,BIHAR,Kishanganj,1811,25016
01-03-2025,BIHAR,Lakhisarai,777,7918
01-03-2025,BIHAR,Madhepura,1283,17649
01-03-2025,BIHAR,Madhubani,3407,41495
01-03-2025,BIHAR,Munger,992,13363
01-03-2025,BIHAR,Muzaffarpur,4456,42818
01-03-2025,BIHAR,Nalanda,2310,21564
01-03-2025,BIHAR,Nawada,1429,16428
01-03-2025,BIHAR,Patna,4807,41971
01-03-2025,BIHAR,Purnia,2194,26114
01-03-2025,BIHAR,Rohtas,2121,19596
01-03-2025,BIHAR,Saharsa,1584,18727
01-03-2025,BIHAR,Samastipur,4382,44385
01-03-2025,BIHAR,Saran,3695,41077
01-03-2025,BIHAR,Sheikhpura,490,5055
01-03-2025,BIHAR,Sheohar,778,7797
01-03-2025,BIHAR,Sitamarhi,3044,36696
01-03-2025,BIHAR,Siwan,2637,26684
01-03-2025,BIHAR,Supaul,1661,29320
01-03-2025,BIHAR,Vaishali,3660,39009
01-03-2025,BIHAR,West Champaran,4317,42725
01-03-2025,CHANDIGARH,Chandigarh,1296,8949
01-03-2025,CHHATTISGARH,Balod,827,10913
01-03-2025,CHHATTISGARH,Baloda Bazar,369,16044
01-03-2025,CHHATTISGARH,Balrampur,392,4458
01-03-2025,CHHATTISGARH,Bastar,878,10394
01-03-2025,CHHATTISGARH,Bemetara,354,10548
01-03-2025,CHHATTISGARH,Bijapur,294,3385
01-03-2025,CHHATTISGARH,Bilaspur,1066,19431
01-03-2025,CHHATTISGARH,Dakshin Bastar Dantewada,364,771
01-03-2025,CHHATTISGARH,Dantewada,162,243
01-03-2025,CHHATTISGARH,Dhamtari,382,10273
01-03-2025,CHHATTISGARH,Durg,1512,10144
01-03-2025,CHHATTISGARH,Gariyaband,122,5062
01-03-2025,CHHATTISGARH,Gaurela-pendra-marwahi,79,773
01-03-2025,CHHATTISGARH,Janjgir-Champa,1438,30658
01-03-2025,CHHATTISGARH,Jashpur,1352,6992
01-03-2025,CHHATTISGARH,Kabeerdham,215,3840
01-03-2025,CHHATTISGARH,Kanker,558,4198
01-03-2025,CHHATTISGARH,Kawardha,637,17645
01-03-2025,CHHATTISGARH,Kondagaon,114,1192
01-03-2025,CHHATTISGARH,Korba,223,4727
01-03-2025,CHHATTISGARH,Koriya,413,3746
01-03-2025,CHHATTISGARH,Mahasamund,309,3131
01-03-2025,CHHATTISGARH,Mohalla-Manpur-Ambagarh Chowki,14,54
01-03-2025,CHHATTISGARH,Mohla-Manpur-Ambagarh Chouki,99,611
01-03-2025,CHHATTISGARH,Mungeli,278,15373
01-03-2025,CHHATTISGARH,Narayanpur,358,1920
01-03-2025,CHHATTISGARH,Raigarh,1833,19707
01-03-2025,CHHATTISGARH,Raipur,1175,20034
01-03-2025,CHHATTISGARH,Rajnandgaon,886,24246
01-03-2025,CHHATTISGARH,Sakti,99,789
01-03-2025,CHHATTISGARH,Sukma,260,1427
01-03-2025,CHHATTISGARH,Surajpur,570,7642
01-03-2025,CHHATTISGARH,Surguja,939,11184
01-03-2025,CHHATTISGARH,Uttar Bastar Kanker,128,1212
