state_normalized,district_cleaned,enrol_child,enrol_youth,enrol_adult,demo_child,demo_youth,demo_adult,bio_child,bio_youth,bio_adult,total_enrolment,total_updates,update_intensity,youth_pressure,adult_pressure,biometric_ratio,upi,pressure_level
ANDAMAN AND NICOBAR ISLANDS,Andamans,70,5,0,0,7,743,0,343,1672,75,2765,36.38157895,0.126536515,0.873101952,0.728488792,0.336238149,MODERATE
ANDAMAN AND NICOBAR ISLANDS,Nicobar,64,11,0,0,58,729,0,992,819,75,2598,34.18421053,0.404001539,0.595613698,0.696806464,0.412982131,MODERATE
ANDAMAN AND NICOBAR ISLANDS,Nicobars,1,0,0,0,0,4,0,1,1,1,6,3,0.142857143,0.714285714,0.285714286,0.196385025,LOW
ANDAMAN AND NICOBAR ISLANDS,North And Middle Andaman,128,4,0,0,112,1897,0,3780,2603,132,8392,63.09774436,0.463719766,0.536161087,0.760514715,0.474270595,MODERATE
ANDAMAN AND NICOBAR ISLANDS,South Andaman,216,12,0,0,440,3256,0,6690,3797,228,14183,61.93449782,0.502679075,0.497250423,0.739354202,0.480527446,MODERATE
ANDHRA PRADESH,Adilabad,1137,281,1,0,2596,26695,0,12208,39830,1419,81329,57.27394366,0.182023853,0.817963851,0.639837698,0.35475193,MODERATE
ANDHRA PRADESH,Alluri Sitharama Raju,1105,116,34,0,1569,11302,0,8438,10169,1255,31478,25.06210191,0.317894469,0.682073763,0.591092474,0.35404572,MODERATE
ANDHRA PRADESH,Anakapalli,523,12,8,0,1772,11688,0,3542,3181,543,20183,37.10110294,0.263277844,0.736672612,0.333085612,0.292399109,MODERATE
ANDHRA PRADESH,Anantapur,4089,326,0,0,8956,59789,0,35834,57731,4415,162310,36.75498188,0.275951722,0.724042117,0.576455077,0.349480793,MODERATE
ANDHRA PRADESH,Ananthapur,1843,151,0,0,9092,20934,0,64082,20050,1994,114158,57.22205514,0.64098319,0.35900805,0.736972118,0.518137039,HIGH
ANDHRA PRADESH,Ananthapuramu,3018,159,10,0,11812,44132,0,90533,19069,3187,165546,51.92785445,0.618223224,0.381770736,0.662059717,0.489356,MODERATE
ANDHRA PRADESH,Annamayya,868,48,105,0,5789,27845,0,5790,3922,1021,43346,42.41291585,0.267123446,0.732853485,0.224052414,0.2749097,MODERATE
ANDHRA PRADESH,Bapatla,421,55,16,0,2008,11506,0,3899,2083,492,19496,39.54563895,0.302969688,0.696979022,0.306816433,0.301344492,MODERATE
ANDHRA PRADESH,Chittoor,7497,659,43,0,28657,140979,0,168727,82711,8199,421074,51.3504878,0.468762097,0.531235528,0.597133527,0.428239642,MODERATE
ANDHRA PRADESH,Cuddapah,5519,413,2,0,11074,72593,0,115127,55669,5934,254463,42.87497894,0.495948346,0.504047724,0.671199069,0.444503719,MODERATE
ANDHRA PRADESH,Dr. B. R. Ambedkar Konaseema,618,30,17,0,1752,12404,0,4352,2954,665,21462,32.22522523,0.284396403,0.715557005,0.340399758,0.295693458,MODERATE
ANDHRA PRADESH,East Godavari,7161,507,10,0,19090,136935,0,204904,96946,7678,457875,59.62690454,0.489202317,0.510795499,0.659239619,0.456455091,MODERATE
ANDHRA PRADESH,Eluru,568,45,16,0,2346,15238,0,4288,3942,629,25814,40.97460317,0.256982375,0.742978888,0.318806895,0.291166697,MODERATE
ANDHRA PRADESH,Guntur,8769,925,35,0,22026,155195,0,187665,104029,9729,468915,48.19270298,0.447182438,0.55281543,0.622060241,0.423896449,MODERATE
ANDHRA PRADESH,Hyderabad,3831,1008,1,0,4382,31824,0,23363,82381,4840,141950,29.32245404,0.19545477,0.804538186,0.744933111,0.354200321,MODERATE
ANDHRA PRADESH,K.V.Rangareddy,55,14,0,0,48,470,0,168,605,69,1291,18.44285714,0.167182663,0.832043344,0.598297214,0.302311222,MODERATE
ANDHRA PRADESH,K.v. Rangareddy,15,4,0,0,32,134,0,216,188,19,570,28.5,0.434325744,0.563922942,0.707530648,0.418933651,MODERATE
