date,state_normalized,district_cleaned,age_0_5,age_5_17,age_18_greater
01-04-2025,ASSAM,Baksa,408,483,187
01-04-2025,ASSAM,Barpeta,138,54,23
01-04-2025,ASSAM,Biswanath,104,114,32
01-04-2025,ASSAM,Bongaigaon,221,87,61
01-04-2025,ASSAM,Cachar,988,461,299
01-04-2025,ASSAM,Charaideo,91,50,164
01-04-2025,ASSAM,Chirang,189,199,179
01-04-2025,ASSAM,Darrang,654,340,270
01-04-2025,ASSAM,Dhemaji,179,176,52
01-04-2025,ASSAM,Dhubri,998,654,80
01-04-2025,ASSAM,Dibrugarh,179,149,186
01-04-2025,ASSAM,Goalpara,587,294,283
01-04-2025,ASSAM,Golaghat,568,501,144
01-04-2025,ASSAM,Hailakandi,242,143,78
01-04-2025,ASSAM,Hojai,763,253,100
01-04-2025,ASSAM,Jorhat,210,156,154
01-04-2025,ASSAM,Kamrup,741,404,179
01-04-2025,ASSAM,Kamrup Metro,276,396,213
01-04-2025,ASSAM,Karbi Anglong,543,1030,323
01-04-2025,ASSAM,Karimganj,508,426,91
01-04-2025,ASSAM,Kokrajhar,301,238,25
01-04-2025,ASSAM,Lakhimpur,400,221,93
01-04-2025,ASSAM,Marigaon,540,457,96
01-04-2025,ASSAM,Nagaon,504,236,36
01-04-2025,ASSAM,Nalbari,55,49,77
01-04-2025,ASSAM,North Cachar Hills,130,179,99
01-04-2025,ASSAM,Sibsagar,220,83,276
01-04-2025,ASSAM,Sonitpur,138,169,65
01-04-2025,ASSAM,South Salmara Mankachar,176,102,30
01-04-2025,ASSAM,Tinsukia,339,391,261
01-04-2025,ASSAM,Udalguri,447,364,319
01-04-2025,ASSAM,West Karbi Anglong,94,344,45
01-04-2025,BIHAR,Bhagalpur,678,534,26
01-04-2025,BIHAR,East Champaran,1528,2371,153
01-04-2025,BIHAR,Gaya,437,1371,54
01-04-2025,BIHAR,Jamui,1015,647,30
01-04-2025,BIHAR,Jehanabad,78,292,48
01-04-2025,BIHAR,Kaimur (Bhabua),146,199,12
01-04-2025,BIHAR,Madhubani,388,485,60
01-04-2025,BIHAR,Munger,191,278,22
01-04-2025,BIHAR,Muzaffarpur,1159,865,65
01-04-2025,BIHAR,Patna,723,2303,373
